Agent_Age,Agent_Rating,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Distance_km,Order_Hour,Order_DayOfWeek,Order_Month,Order_to_Pickup_Minutes
20,4.8,Sandstorms,Low ,scooter ,Metropolitian ,95,Kitchen,1.5203573134022046,11,2,3,10.0
35,5.0,Sunny,Low ,scooter ,Urban ,55,Clothing,3.0734537599377685,9,4,4,10.0
26,4.9,Stormy,Low ,scooter ,Metropolitian ,55,Kitchen,3.1051314775458967,8,0,3,15.0
22,4.8,Fog,Low ,motorcycle ,Metropolitian ,140,Books,10.86742683448048,23,4,3,10.0
35,4.3,Cloudy,Medium ,motorcycle ,Metropolitian ,33,Grocery,10.865464603780389,17,0,3,5.0
28,4.6,Stormy,Jam ,scooter ,Metropolitian ,110,Cosmetics,16.826241648658115,19,1,3,15.0
37,4.9,Fog,Low ,scooter ,Urban ,16,Grocery,3.0272369309754272,10,6,2,5.0
23,4.9,Sunny,Jam ,van,Metropolitian ,55,Apparel,9.175193844437826,21,3,3,5.0
27,4.9,Windy,Medium ,scooter ,Metropolitian ,125,Snacks,9.315069177421892,19,5,3,15.0
37,4.8,Cloudy,Medium ,motorcycle ,Urban ,130,Jewelry,6.209021101535612,16,2,3,10.0
33,5.0,Sunny,High ,scooter ,Metropolitian ,90,Shoes,1.5203447277401048,11,5,3,10.0
31,4.9,Fog,Medium ,motorcycle ,Metropolitian ,80,Books,6.037225392443855,15,6,4,5.0
31,4.8,Stormy,Low ,scooter ,Metropolitian ,115,Cosmetics,17.078665498349437,22,4,3,10.0
25,5.0,Cloudy,Low ,motorcycle ,Metropolitian ,75,Home,4.717601092054723,22,6,2,15.0
28,4.8,Sandstorms,Jam ,motorcycle ,Metropolitian ,180,Kitchen,12.464329297636581,20,0,4,10.0
31,4.7,Cloudy,Low ,motorcycle ,Metropolitian ,80,Clothing,9.121425981981247,22,5,3,15.0
24,4.7,Sunny,Medium ,motorcycle ,Urban ,95,Snacks,14.02323208308448,17,3,3,5.0
39,4.6,Sunny,Low ,motorcycle ,Metropolitian ,135,Jewelry,13.392612276663236,22,0,2,15.0
39,4.2,Fog,Jam ,scooter ,Semi-Urban ,245,Apparel,12.580267822400963,20,2,3,15.0
32,4.5,Windy,Low ,scooter ,Other,100,Shoes,1.4899271643865588,9,5,3,15.0
36,4.7,Cloudy,Jam ,motorcycle ,Metropolitian ,150,Sports,9.435201537430714,20,6,3,5.0
25,4.8,Sandstorms,Low ,scooter ,Urban ,90,Cosmetics,11.916582838288104,22,1,3,10.0
33,4.9,Sunny,Jam ,scooter ,Metropolitian ,110,Books,4.663566689152146,21,2,3,5.0
30,4.4,Cloudy,Low ,scooter ,Metropolitian ,170,Shoes,10.641157729337541,22,5,3,15.0
33,5.0,Sandstorms,Low ,motorcycle ,Urban ,120,Jewelry,16.818368923732613,23,3,3,5.0
36,4.9,Fog,Medium ,scooter ,Metropolitian ,85,Pet Supplies,6.128551257919138,15,3,3,15.0
21,4.8,Sandstorms,Low ,van,Metropolitian ,70,Shoes,2.996250036665907,10,1,2,10.0
39,4.9,Stormy,Jam ,motorcycle ,Metropolitian ,150,Skincare,7.342175722857793,20,1,2,5.0
23,4.8,Stormy,Low ,scooter ,Metropolitian ,15,Grocery,3.145067434621583,10,0,3,10.0
35,4.8,Fog,Medium ,scooter ,Urban ,80,Apparel,6.29013467763468,15,0,3,10.0
39,4.6,Cloudy,Jam ,scooter ,Metropolitian ,180,Home,13.972123977178622,20,2,3,5.0
22,4.7,Sunny,High ,scooter ,Urban ,90,Sports,6.081440797008078,12,3,3,5.0
32,4.6,Fog,Medium ,scooter ,Metropolitian ,85,Outdoors,6.080891507842322,15,1,3,15.0
24,4.8,Sandstorms,Low ,motorcycle ,Urban ,75,Apparel,12.580267822400963,22,4,3,5.0
29,4.7,Fog,Low ,motorcycle ,Metropolitian ,85,Books,3.145067434621583,10,2,3,10.0
26,4.7,Fog,Low ,motorcycle ,Metropolitian ,50,Shoes,9.220373067021216,23,5,3,-1425.0
20,4.5,Fog,Jam ,motorcycle ,Metropolitian ,135,Sports,7.8626681674103684,21,4,2,15.0
35,4.1,Sandstorms,Jam ,motorcycle ,Metropolitian ,185,Pet Supplies,13.96960642768458,20,5,3,15.0
39,4.6,Fog,Jam ,scooter ,Metropolitian ,220,Electronics,13.973206773137713,20,1,3,10.0
34,4.7,Windy,High ,van,Metropolitian ,140,Snacks,6.058853851669116,12,5,3,10.0
27,4.7,Cloudy,Jam ,scooter ,Metropolitian ,210,Apparel,17.07799287216204,21,3,3,15.0
30,4.8,Windy,Low ,motorcycle ,Metropolitian ,125,Sports,17.29786575291325,23,2,2,15.0
25,4.4,Cloudy,Medium ,scooter ,Metropolitian ,195,Jewelry,17.072871906399556,18,6,3,5.0
25,4.7,Stormy,Medium ,motorcycle ,Urban ,100,Electronics,16.818368923732613,18,6,3,5.0
30,5.0,Stormy,High ,motorcycle ,Metropolitian ,155,Kitchen,2.979502850576494,11,3,3,5.0
24,4.6,Stormy,Jam ,motorcycle ,Metropolitian ,65,Home,9.22086597503784,20,2,3,10.0
39,4.8,Stormy,Jam ,motorcycle ,Metropolitian ,140,Home,7.661331134220826,21,3,3,15.0
25,4.8,Windy,High ,scooter ,Urban ,95,Snacks,6.1755160934059985,12,1,2,5.0
37,4.6,Fog,Low ,motorcycle ,Urban ,210,Kitchen,12.209856560906529,23,4,2,15.0
24,5.0,Fog,Low ,motorcycle ,Metropolitian ,115,Electronics,1.5526813140972442,10,1,3,5.0
25,4.2,Stormy,Jam ,motorcycle ,Metropolitian ,195,Cosmetics,16.902806732498032,21,2,3,15.0
32,4.6,Stormy,Low ,motorcycle ,Metropolitian ,125,Outdoors,1.5093577696337532,10,4,4,10.0
38,4.9,Cloudy,Low ,scooter ,Urban ,75,Books,3.0251186390184004,8,4,3,15.0
36,4.8,Sunny,Medium ,van,Metropolitian ,75,Home,13.407092693002484,17,0,3,5.0
25,5.0,Stormy,Jam ,motorcycle ,Metropolitian ,75,Electronics,16.721976048741215,20,4,3,15.0
29,5.0,Sunny,Low ,motorcycle ,Metropolitian ,90,Outdoors,7.772343594464245,22,4,4,5.0
36,4.7,Sandstorms,Low ,van,Metropolitian ,145,Clothing,13.773737657079298,23,0,4,10.0
33,4.7,Fog,Low ,motorcycle ,Metropolitian ,100,Snacks,7.790158927084966,23,4,3,5.0
36,4.4,Cloudy,High ,scooter ,Metropolitian ,195,Skincare,6.217834398578936,12,6,3,15.0
21,4.8,Windy,Low ,motorcycle ,Metropolitian ,95,Sports,16.852834881460105,23,4,3,15.0
25,4.8,Cloudy,Low ,scooter ,Urban ,19,Grocery,4.610035602260694,23,5,3,-1425.0
23,4.8,Windy,Low ,motorcycle ,Metropolitian ,85,Electronics,19.879870677373706,22,2,3,10.0
25,4.6,Stormy,Low ,motorcycle ,Urban ,75,Books,1.5580833985948437,10,1,3,15.0
24,4.3,Sandstorms,Low ,motorcycle ,Urban ,95,Apparel,3.025332706173566,8,1,3,15.0
27,4.6,Sandstorms,Jam ,motorcycle ,Metropolitian ,145,Apparel,13.97194896017493,21,4,3,15.0
23,4.8,Cloudy,Low ,scooter ,Urban ,110,Jewelry,16.830905551931956,22,4,3,5.0
21,4.3,Fog,Jam ,scooter ,Metropolitian ,210,Books,20.207797933358158,20,2,3,10.0
27,4.7,Sandstorms,Low ,scooter ,Urban ,60,Sports,3.040641621538495,10,1,3,15.0
32,4.2,Cloudy,Jam ,motorcycle ,Metropolitian ,190,Skincare,20.253785359470783,20,1,3,10.0
25,4.6,Sunny,Low ,motorcycle ,Metropolitian ,115,Outdoors,16.72129600980331,23,3,3,15.0
39,4.7,Cloudy,Low ,scooter ,Metropolitian ,75,Books,2.9845507897866907,10,4,2,15.0
27,4.6,Sunny,Low ,motorcycle ,Metropolitian ,120,Shoes,12.16145053143676,23,0,3,5.0
31,4.8,Sandstorms,Low ,scooter ,Metropolitian ,120,Sports,7.762556904358444,22,1,3,10.0
31,4.8,Sunny,Low ,van,Metropolitian ,65,Kitchen,9.055855161965923,23,1,3,5.0
20,4.8,Cloudy,Low ,motorcycle ,Other,80,Sports,1.5545816630911855,9,2,3,15.0
36,4.9,Cloudy,Medium ,motorcycle ,Urban ,210,Cosmetics,12.074047498027575,18,2,3,10.0
20,4.9,Sandstorms,Low ,motorcycle ,Metropolitian ,85,Toys,13.580373876280879,22,6,3,10.0
24,4.6,Cloudy,Jam ,motorcycle ,Metropolitian ,125,Jewelry,4.469620875558295,20,6,4,15.0
39,4.2,Fog,Medium ,scooter ,Metropolitian ,195,Clothing,16.634870118211836,18,1,3,5.0
37,4.8,Sunny,High ,scooter ,Metropolitian ,90,Shoes,6.232139486668102,14,3,3,10.0
32,4.9,Sandstorms,Medium ,motorcycle ,Metropolitian ,140,Books,6.209021101535612,16,3,3,10.0
22,4.5,Sandstorms,Low ,scooter ,Metropolitian ,90,Skincare,7.460830127736633,22,1,2,15.0
23,4.9,Windy,Low ,scooter ,Metropolitian ,90,Clothing,20.253785359470783,0,4,3,15.0
33,4.7,Fog,Jam ,scooter ,Metropolitian ,245,Apparel,16.600975700594585,21,1,3,10.0
23,4.633780473846858,Sunny,Low ,motorcycle ,Metropolitian ,75,Snacks,4.540321372891478,23,3,2,10.0
27,4.6,Sunny,Low ,motorcycle ,Metropolitian ,105,Pet Supplies,12.421212735966003,23,3,3,5.0
34,4.7,Sunny,High ,scooter ,Metropolitian ,115,Toys,6.1187118466897275,14,1,3,15.0
26,5.0,Fog,Low ,scooter ,Urban ,55,Sports,1.520431947999248,10,6,4,10.0
31,4.6,Cloudy,Jam ,motorcycle ,Metropolitian ,125,Snacks,9.087972744661085,21,3,3,15.0
32,4.9,Fog,Low ,motorcycle ,Metropolitian ,90,Books,3.0644871057616707,8,0,3,5.0
27,4.7,Cloudy,Low ,motorcycle ,Metropolitian ,70,Shoes,3.025144329113595,9,2,3,5.0
21,4.9,Windy,Medium ,motorcycle ,Metropolitian ,180,Pet Supplies,13.973206773137713,17,5,3,15.0
28,4.8,Fog,Low ,motorcycle ,Metropolitian ,90,Kitchen,7.763102784727143,23,3,3,5.0
24,4.9,Fog,Medium ,scooter ,Urban ,85,Toys,6.29013467763468,16,2,3,15.0
33,4.4,Sandstorms,Low ,motorcycle ,Metropolitian ,140,Electronics,1.5368503798521727,8,5,3,10.0
20,4.6,Fog,Jam ,motorcycle ,Metropolitian ,220,Home,13.97317756157655,20,4,3,15.0
31,4.3,Windy,Low ,motorcycle ,Metropolitian ,100,Toys,9.348403522662325,23,6,3,15.0
36,5.0,Fog,Jam ,motorcycle ,Metropolitian ,175,Shoes,10.602467987619507,19,3,3,10.0
31,4.2,Sandstorms,Jam ,motorcycle ,Metropolitian ,50,Grocery,17.076258901183188,21,2,3,10.0
39,4.1,Stormy,Jam ,scooter ,Metropolitian ,170,Electronics,9.22083460710881,21,3,3,5.0
29,4.6,Sunny,Jam ,van,Metropolitian ,85,Outdoors,12.161605446010208,19,5,3,15.0
29,4.6,Sandstorms,High ,scooter ,Urban ,115,Apparel,6.080882967594328,14,3,3,10.0
37,4.9,Fog,Medium ,motorcycle ,Metropolitian ,135,Books,4.67414369897644,18,2,3,10.0
33,4.7,Cloudy,High ,motorcycle ,Urban ,130,Skincare,6.29013467763468,12,3,3,10.0
31,3.9,Cloudy,Low ,scooter ,Metropolitian ,175,Pet Supplies,10.709003371535417,23,4,3,10.0
37,4.6,Windy,High ,motorcycle ,Urban ,205,Outdoors,6.29013467763468,12,5,3,5.0
26,4.4,Sandstorms,Low ,motorcycle ,Other,115,Toys,9.31488473286169,23,0,3,10.0
24,4.6,Stormy,Medium ,motorcycle ,Metropolitian ,150,Clothing,17.137482577838597,17,4,3,10.0
23,4.8,Windy,Low ,scooter ,Metropolitian ,95,Pet Supplies,3.145067434621583,10,6,4,10.0
36,4.9,Windy,Low ,scooter ,Metropolitian ,135,Electronics,1.572533729286321,9,4,3,15.0
39,4.8,Cloudy,High ,motorcycle ,Metropolitian ,140,Cosmetics,6.21800234869445,12,4,4,15.0
20,4.7,Sandstorms,Medium ,motorcycle ,Metropolitian ,120,Toys,12.463883024166657,17,6,3,10.0
20,5.0,Cloudy,Jam ,motorcycle ,Urban ,180,Sports,20.20658151050797,19,3,3,15.0
29,4.3,Sandstorms,Low ,motorcycle ,Metropolitian ,140,Cosmetics,9.081116432461174,23,6,2,5.0
36,4.8,Fog,Medium ,motorcycle ,Urban ,155,Snacks,17.138077427627866,18,1,3,5.0
36,4.0,Sunny,Jam ,motorcycle ,Metropolitian ,220,Skincare,13.631343698142908,20,2,3,5.0
22,4.8,Windy,Low ,scooter ,Metropolitian ,75,Cosmetics,12.074063090452917,22,0,3,15.0
38,4.4,Windy,Medium ,motorcycle ,Metropolitian ,165,Toys,10.723264172167632,17,3,3,5.0
39,4.9,Fog,Jam ,motorcycle ,Metropolitian ,150,Cosmetics,7.600994631258685,19,3,3,15.0
24,4.9,Stormy,Medium ,scooter ,Metropolitian ,110,Outdoors,7.562982485200135,18,0,3,10.0
30,4.1,Fog,Low ,motorcycle ,Metropolitian ,215,Sports,11.007734763744617,23,0,4,-1430.0
35,4.8,Fog,Medium ,motorcycle ,Metropolitian ,240,Jewelry,13.829314445199353,17,4,3,10.0
33,4.5,Stormy,Low ,van,Metropolitian ,95,Shoes,13.969116967730173,23,4,3,-1425.0
39,4.7,Windy,Medium ,motorcycle ,Urban ,105,Cosmetics,10.92326745824626,18,0,2,5.0
31,4.3,Windy,Jam ,motorcycle ,Metropolitian ,220,Outdoors,12.117036432265502,21,4,3,10.0
37,4.5,Windy,Low ,scooter ,Metropolitian ,130,Books,1.5525704156536744,8,3,3,15.0
37,4.7,Windy,Low ,scooter ,Metropolitian ,26,Grocery,4.663566689152146,22,4,4,5.0
33,5.0,Windy,High ,motorcycle ,Metropolitian ,155,Sports,1.5294972211332267,11,5,3,5.0
24,4.6,Stormy,Low ,scooter ,Urban ,19,Grocery,9.435201537430714,23,0,3,15.0
33,4.5,Sunny,Jam ,scooter ,Metropolitian ,90,Kitchen,11.916757259074618,19,2,3,5.0
39,4.7,Fog,Medium ,motorcycle ,Metropolitian ,190,Electronics,10.486117701549256,18,2,2,15.0
37,4.6,Cloudy,Medium ,motorcycle ,Metropolitian ,160,Outdoors,13.583078662317007,18,1,3,10.0
25,4.9,Sandstorms,Low ,scooter ,Metropolitian ,85,Jewelry,7.6831914051315,22,0,3,5.0
28,4.8,Fog,Medium ,scooter ,Urban ,55,Books,9.193093962702912,19,3,3,5.0
38,4.7,Windy,High ,motorcycle ,Metropolitian ,155,Cosmetics,6.2178836475581045,13,2,3,10.0
31,4.6,Windy,Medium ,motorcycle ,Metropolitian ,125,Skincare,9.326872529115304,17,5,3,10.0
25,4.8,Cloudy,Jam ,motorcycle ,Metropolitian ,110,Jewelry,9.179538450826048,19,1,3,15.0
35,4.9,Fog,Jam ,motorcycle ,Metropolitian ,215,Skincare,10.880651848535559,21,2,3,5.0
39,4.7,Fog,Jam ,motorcycle ,Metropolitian ,210,Home,10.565262855251525,19,3,3,10.0
38,3.9,Stormy,Jam ,motorcycle ,Metropolitian ,210,Kitchen,12.100062421152574,19,6,3,10.0
35,4.7,Fog,Jam ,motorcycle ,Metropolitian ,170,Snacks,4.657159718107683,21,0,3,10.0
29,4.7,Sandstorms,Low ,motorcycle ,Metropolitian ,85,Sports,2.9812178551917965,9,1,3,15.0
27,4.6,Stormy,Jam ,scooter ,Metropolitian ,125,Pet Supplies,4.56126563284071,20,3,3,5.0
36,4.9,Windy,Low ,motorcycle ,Metropolitian ,105,Electronics,10.64228895373868,23,2,3,15.0
26,4.0,Cloudy,High ,motorcycle ,Metropolitian ,170,Snacks,6.147404652636645,15,4,4,10.0
26,4.1,Fog,Jam ,motorcycle ,Metropolitian ,180,Pet Supplies,13.428477357470895,19,5,2,5.0
36,4.9,Sunny,Medium ,motorcycle ,Metropolitian ,85,Cosmetics,9.32728515796102,17,1,4,10.0
21,4.7,Sunny,Low ,motorcycle ,Metropolitian ,80,Electronics,1.489792976782627,9,3,3,10.0
35,4.7,Sunny,Jam ,van,Metropolitian ,135,Apparel,12.418394742110447,20,2,4,5.0
20,4.5,Fog,High ,motorcycle ,Metropolitian ,130,Kitchen,6.217860689144307,12,3,3,5.0
23,4.6,Fog,Jam ,motorcycle ,Metropolitian ,230,Home,13.787803344501583,21,3,3,15.0
37,5.0,Sunny,Jam ,motorcycle ,Metropolitian ,145,Sports,9.080187058763224,19,3,2,10.0
26,4.8,Sandstorms,Jam ,motorcycle ,Metropolitian ,115,Shoes,9.31544163550089,19,2,3,5.0
29,5.0,Sandstorms,Low ,scooter ,Urban ,55,Sports,12.161417162421785,22,6,3,15.0
26,4.9,Stormy,Medium ,motorcycle ,Metropolitian ,140,Apparel,16.636875038860897,17,4,3,15.0
29,4.8,Cloudy,Jam ,motorcycle ,Metropolitian ,125,Electronics,9.19295116708344,19,4,3,5.0
29,4.7,Sandstorms,Low ,motorcycle ,Metropolitian ,55,Snacks,3.0182264849996012,10,3,3,15.0
21,4.9,Windy,Medium ,scooter ,Metropolitian ,130,Electronics,4.395420246829376,18,1,2,10.0
22,4.3,Stormy,Low ,motorcycle ,Metropolitian ,115,Apparel,3.109059104393369,10,0,3,15.0
31,4.0,Fog,Medium ,motorcycle ,Metropolitian ,195,Kitchen,11.916582838288104,17,4,3,15.0
20,4.5,Fog,Low ,motorcycle ,Other,55,Apparel,3.116248509790061,8,6,4,10.0
30,3.9,Stormy,Jam ,van,Metropolitian ,160,Apparel,12.116950608888414,19,2,4,15.0
36,4.8,Fog,Medium ,motorcycle ,Metropolitian ,215,Shoes,10.868263117988388,17,6,3,15.0
24,4.7,Fog,Medium ,scooter ,Metropolitian ,65,Cosmetics,6.218153086065015,15,5,3,10.0
32,4.7,Windy,Low ,van,Metropolitian ,125,Jewelry,1.554424975889475,9,0,3,10.0
25,5.0,Windy,Medium ,motorcycle ,Metropolitian ,135,Clothing,9.313017158714828,18,5,3,5.0
27,4.5,Windy,Medium ,scooter ,Metropolitian ,145,Skincare,6.147106622705506,15,0,3,15.0
32,4.1,Sandstorms,Medium ,motorcycle ,Metropolitian ,165,Skincare,10.867300462045835,18,1,3,15.0
23,4.7,Fog,Medium ,motorcycle ,Urban ,19,Grocery,6.209259882041872,16,3,3,5.0
39,4.4,Sunny,Medium ,motorcycle ,Metropolitian ,165,Shoes,20.18085916835158,18,1,3,5.0
20,4.8,Fog,Jam ,motorcycle ,Metropolitian ,140,Apparel,9.435201537430714,19,0,3,5.0
20,4.8,Windy,Medium ,van,Other,75,Cosmetics,11.919755989352295,18,4,3,10.0
29,4.6,Stormy,Jam ,scooter ,Metropolitian ,145,Skincare,4.494291162003504,20,1,2,15.0
26,4.9,Stormy,Low ,scooter ,Metropolitian ,90,Snacks,20.85172635753384,22,1,3,5.0
25,5.0,Stormy,Low ,motorcycle ,Metropolitian ,70,Apparel,1.5605734793807475,10,6,2,5.0
34,4.7,Windy,Medium ,motorcycle ,Metropolitian ,150,Shoes,6.210589610314177,16,6,4,15.0
31,4.9,Sunny,High ,motorcycle ,Metropolitian ,140,Toys,6.17528357530834,14,6,2,15.0
24,4.7,Fog,Jam ,motorcycle ,Metropolitian ,195,Cosmetics,20.44292976252901,20,2,3,5.0
30,4.9,Cloudy,Medium ,motorcycle ,Metropolitian ,150,Skincare,13.830084721845328,19,5,4,15.0
36,4.8,Sandstorms,Medium ,motorcycle ,Metropolitian ,180,Apparel,19.37374583495492,18,6,3,5.0
36,4.4,Fog,Low ,motorcycle ,Metropolitian ,185,Home,20.857115324129595,23,1,3,15.0
26,4.7,Cloudy,Jam ,motorcycle ,Metropolitian ,215,Apparel,20.851557402660557,19,4,3,5.0
30,4.6,Sunny,Low ,scooter ,Other,145,Apparel,16.659963190057415,23,6,3,10.0
20,4.8,Stormy,Medium ,scooter ,Metropolitian ,125,Shoes,4.717601092054723,18,4,2,15.0
33,4.7,Fog,Medium ,van,Urban ,75,Books,7.76260023979039,18,2,3,15.0
34,4.0,Windy,Jam ,motorcycle ,Metropolitian ,195,Clothing,13.76685500858734,21,5,3,5.0
36,4.6,Windy,Low ,motorcycle ,Metropolitian ,100,Clothing,12.293677673573285,23,0,4,10.0
33,4.6,Fog,Low ,motorcycle ,Metropolitian ,75,Apparel,2.9846372692856606,11,4,2,10.0
22,4.8,Sandstorms,Low ,motorcycle ,Metropolitian ,80,Jewelry,16.78827586251448,22,4,2,15.0
38,4.7,Sunny,Low ,scooter ,Metropolitian ,95,Clothing,1.5320227740641719,11,5,3,15.0
27,4.9,Fog,Low ,scooter ,Metropolitian ,100,Kitchen,12.421407858787804,23,2,3,15.0
32,4.8,Sunny,Jam ,scooter ,Metropolitian ,125,Books,10.444776155165918,21,0,2,10.0
26,4.8,Cloudy,Jam ,motorcycle ,Metropolitian ,215,Home,12.42075005031367,19,6,3,10.0
29,4.5,Windy,Low ,motorcycle ,Urban ,75,Toys,19.659373527443684,22,4,3,10.0
31,4.5,Sunny,Jam ,motorcycle ,Urban ,145,Pet Supplies,12.46418980459368,20,2,4,15.0
28,4.6,Stormy,High ,motorcycle ,Metropolitian ,70,Outdoors,6.1462436583934315,12,5,3,15.0
21,4.8,Sunny,Medium ,motorcycle ,Metropolitian ,55,Toys,8.92908688893574,18,4,2,5.0
21,4.0,Sandstorms,Low ,motorcycle ,Metropolitian ,95,Clothing,7.79036212453358,22,0,3,5.0
30,4.9,Windy,Low ,motorcycle ,Metropolitian ,145,Skincare,12.580267822400963,23,4,3,10.0
29,4.7,Cloudy,Medium ,motorcycle ,Urban ,55,Shoes,5.992096714696517,15,4,2,5.0
20,4.8,Sunny,High ,motorcycle ,Metropolitian ,70,Sports,1.5297232853100244,11,0,3,10.0
28,5.0,Windy,Low ,motorcycle ,Urban ,75,Electronics,13.73594217639692,22,2,2,10.0
25,4.7,Sandstorms,Low ,motorcycle ,Metropolitian ,16,Grocery,10.705559922396555,23,2,3,10.0
38,4.8,Stormy,Low ,motorcycle ,Metropolitian ,100,Apparel,3.1048037532854496,10,0,3,5.0
39,4.9,Stormy,Low ,motorcycle ,Metropolitian ,130,Pet Supplies,4.610073053799191,22,3,3,10.0
26,4.9,Windy,Medium ,scooter ,Metropolitian ,130,Electronics,9.122100805601145,17,6,3,5.0
33,4.4,Windy,Jam ,motorcycle ,Urban ,215,Sports,10.906036622245484,21,0,3,15.0
24,4.6,Sandstorms,Medium ,motorcycle ,Urban ,125,Home,9.08801379933047,18,1,3,10.0
24,4.9,Fog,Medium ,motorcycle ,Metropolitian ,140,Sports,6.232303380306801,15,0,3,10.0
33,4.5,Stormy,Low ,scooter ,Metropolitian ,85,Snacks,13.611566722125085,22,3,3,15.0
35,4.2,Windy,Jam ,motorcycle ,Metropolitian ,220,Shoes,13.611428630407849,19,6,3,10.0
27,4.2,Stormy,Jam ,motorcycle ,Metropolitian ,165,Jewelry,13.763896210757977,20,2,4,5.0
29,4.5,Sunny,Medium ,motorcycle ,Metropolitian ,75,Electronics,4.657591594952301,18,6,4,5.0
34,4.7,Fog,Low ,scooter ,Metropolitian ,135,Skincare,19.34348721744278,23,5,2,10.0
20,4.7,Cloudy,High ,scooter ,Metropolitian ,25,Grocery,2.9845125598688362,11,4,2,15.0
29,4.8,Sunny,High ,motorcycle ,Metropolitian ,90,Shoes,6.058876303739157,13,1,4,5.0
22,4.9,Stormy,Medium ,scooter ,Metropolitian ,105,Kitchen,9.088084092164259,18,1,4,5.0
35,4.9,Cloudy,Jam ,motorcycle ,Metropolitian ,53,Grocery,10.41706579035871,21,4,2,15.0
32,4.4,Sandstorms,Jam ,motorcycle ,Metropolitian ,210,Kitchen,17.164833902684475,21,5,2,10.0
